epoch,split,loss,acc,lr,duration_s
0,train,0.7398390173912048,0.4,0.001,0.3924233913421631
0,eval,0.650559663772583,0.6666666666666666,0.001,0.004001617431640625
1,train,0.7391659021377563,0.4,0.001,0.005148887634277344
1,eval,0.6505250930786133,0.6666666666666666,0.001,0.0
2,train,0.7384977340698242,0.4,0.001,0.004023313522338867
2,eval,0.6504947543144226,0.6666666666666666,0.001,0.003998994827270508
3,train,0.7378347516059875,0.4,0.001,0.0
3,eval,0.6504687666893005,0.6666666666666666,0.001,0.003997325897216797
4,train,0.7371768355369568,0.4,0.001,0.0
4,eval,0.6504473686218262,0.6666666666666666,0.001,0.003968477249145508
5,train,0.736524224281311,0.4,0.001,0.003991603851318359
5,eval,0.6504306793212891,0.6666666666666666,0.001,0.0
6,train,0.735876739025116,0.4,0.001,0.003998517990112305
6,eval,0.650418758392334,0.6666666666666666,0.001,0.0
7,train,0.7352346777915955,0.4,0.001,0.0040130615234375
7,eval,0.6504119634628296,0.6666666666666666,0.001,0.004015445709228516
8,train,0.7345978617668152,0.4,0.001,0.004014492034912109
8,eval,0.6504104733467102,0.6666666666666666,0.001,0.0
9,train,0.7339662909507751,0.4,0.001,0.0
9,eval,0.6504145264625549,0.6666666666666666,0.001,0.003985404968261719
10,train,0.7333399057388306,0.4,0.001,0.0
10,eval,0.6504197120666504,0.6666666666666666,0.001,0.00397801399230957
11,train,0.7327187061309814,0.4,0.001,0.0
11,eval,0.6504254341125488,0.6666666666666666,0.001,0.003983497619628906
12,train,0.7321268916130066,0.4,0.001,0.00400543212890625
12,eval,0.6504440307617188,0.6666666666666666,0.001,0.003999948501586914
13,train,0.7315519452095032,0.4,0.001,0.007955074310302734
13,eval,0.6504747867584229,0.6666666666666666,0.001,0.0
